word,shape,distinct,meaning
mim,CVC,yes,
min,CVC,yes,not know
miq,CVC,yes,motion
mib,CVC,yes,
mid,CVC,yes,positive
mig,CVC,yes,
mip,CVC,yes,
mit,CVC,yes,meet
mik,CVC,yes,
mis,CVC,yes,miss (longing)
miz,CVC,yes,
mif,CVC,yes,
miv,CVC,yes,idea
mix,CVC,yes,network
mij,CVC,yes,
mic,CVC,yes,
miC,CVC,yes,
mem,CVC,yes,
men,CVC,yes,main
meq,CVC,yes,mine
meb,CVC,yes,
med,CVC,yes,
meg,CVC,yes,
mep,CVC,yes,
met,CVC,yes,
mek,CVC,yes,make
mes,CVC,yes,month
mez,CVC,yes,
mef,CVC,yes,
mev,CVC,yes,
mex,CVC,yes,
mej,CVC,yes,model
mec,CVC,yes,
meC,CVC,yes,
mam,CVC,yes,mother
man,CVC,yes,mind
maq,CVC,yes,harmony
mab,CVC,yes,source
mad,CVC,yes,middle
mag,CVC,yes,fruit
map,CVC,yes,map (map/reduce)
mat,CVC,yes,forward
mak,CVC,yes,meat
mas,CVC,yes,
maz,CVC,yes,flow (speech utterance)
maf,CVC,yes,male
mav,CVC,yes,many
max,CVC,yes,
maj,CVC,yes,magenta
mac,CVC,yes,great
maC,CVC,yes,
mal,CVC,yes,molecule
mar,CVC,yes,symbol
mom,CVC,yes,
mon,CVC,yes,
moq,CVC,yes,about/encompass
mob,CVC,yes,
mod,CVC,yes,mode
mog,CVC,yes,meaning
mop,CVC,yes,twelve
mot,CVC,yes,mountain
mok,CVC,yes,align
mos,CVC,yes,
moz,CVC,yes,hash
mof,CVC,yes,
mov,CVC,yes,
mox,CVC,yes,immutable
moj,CVC,yes,emerge
moc,CVC,yes,
moC,CVC,yes,
mol,CVC,yes,high
mor,CVC,yes,the model of the action (e.g. the transform)
mum,CVC,yes,
mun,CVC,yes,gut sense
muq,CVC,yes,mmm
mub,CVC,yes,
mud,CVC,yes,mood
mug,CVC,yes,(past particle)
mup,CVC,yes,
mut,CVC,yes,mutate
muk,CVC,yes,earth (dirt)
mus,CVC,yes,mercy
muz,CVC,yes,pain
muf,CVC,yes,
muv,CVC,yes,move
mux,CVC,yes,
muj,CVC,yes,message
muc,CVC,yes,mouth
muC,CVC,yes,
mul,CVC,yes,unreal
mur,CVC,yes,
nim,CVC,yes,
nin,CVC,yes,
niq,CVC,yes,omniscient
nib,CVC,yes,
nid,CVC,yes,need
nig,CVC,yes,
nip,CVC,yes,
nit,CVC,yes,
nik,CVC,yes,pink
nis,CVC,yes,
niz,CVC,yes,nest (structure)
nif,CVC,yes,a (isolated-element-focus)
niv,CVC,yes,
nix,CVC,yes,listen
nij,CVC,yes,
nic,CVC,yes,
niC,CVC,yes,
nem,CVC,yes,
nen,CVC,yes,
neq,CVC,yes,
neb,CVC,yes,
ned,CVC,yes,static
neg,CVC,yes,
nep,CVC,yes,nature
net,CVC,yes,knit
nek,CVC,yes,neck
nes,CVC,yes,nice
nez,CVC,yes,
nef,CVC,yes,
nev,CVC,yes,off
nex,CVC,yes,
nej,CVC,yes,
nec,CVC,yes,
neC,CVC,yes,
nam,CVC,yes,name
nan,CVC,yes,negate
naq,CVC,yes,
nab,CVC,yes,
nad,CVC,yes,
nag,CVC,yes,
nap,CVC,yes,
nat,CVC,yes,
nak,CVC,yes,knock
nas,CVC,yes,nest
naz,CVC,yes,as
naf,CVC,yes,
nav,CVC,yes,center
nax,CVC,yes,
naj,CVC,yes,
nac,CVC,yes,
naC,CVC,yes,
nal,CVC,yes,neutral
nar,CVC,yes,person
nom,CVC,yes,
non,CVC,yes,not (un- or -im)
noq,CVC,yes,
nob,CVC,yes,
nod,CVC,yes,
nog,CVC,yes,
nop,CVC,yes,no
not,CVC,yes,note
nok,CVC,yes,
nos,CVC,yes,
noz,CVC,yes,nose
nof,CVC,yes,
nov,CVC,yes,
nox,CVC,yes,notion
noj,CVC,yes,
noc,CVC,yes,
noC,CVC,yes,
nol,CVC,yes,toward
nor,CVC,yes,
num,CVC,yes,know
nun,CVC,yes,
nuq,CVC,yes,bond
