term,atom,meaning,mandarin,vietnamese,total,languages,source
peace,siz,peace,305,540,845,2,both
water,waC,water,421,363,784,2,both
person,nar,person,440,325,765,2,both
river,narv,river,468,159,627,2,both
mountain,mot,mountain,330,246,576,2,both
not,non,not,348,210,558,2,both
out,,,348,205,553,2,gloss
sound,sam,sound,351,185,536,2,both
good,taf,good,277,239,516,2,both
make,mek,make,350,160,510,2,both
head,had,head,332,177,509,2,both
heart,hort,heart,244,254,498,2,both
hand,zeqk,hand,297,199,496,2,both
word,dat,word,281,207,488,2,both
change,xun,change,304,153,457,2,both
move,muv,move,297,154,451,2,both
sea,von,sea,262,180,442,2,both
face,fes,face,242,198,440,2,both
fish,frix,fish,221,219,440,2,both
body,vat,body,271,168,439,2,both
great,,,241,198,439,2,gloss
old,marg,old,262,177,439,2,both
small,smal,small,250,165,415,2,both
mouth,muc,mouth,228,179,407,2,both
stone,ston,stone,213,188,401,2,both
form,form,form,197,203,400,2,both
light,lit,light,217,182,399,2,both
return,xuv,return,258,135,393,2,both
self,suf,self,202,190,392,2,both
name,nam,name,247,139,386,2,both
open,zark,open,222,162,384,2,both
new,gump,new,166,216,382,2,both
flower,flor,flower,175,205,380,2,both
go,big,go,226,150,376,2,both
eye,xic,eye,219,151,370,2,both
high,mol,high,192,173,365,2,both
clear,kud,clear,203,153,356,2,both
white,wat,white,181,175,356,2,both
red,red,red,174,177,351,2,both
place,lok,place,241,104,345,2,both
long,nuc,long,190,151,341,2,both
field,cuv,field,161,178,339,2,both
group,hip,group,194,138,332,2,both
become,bim,become,229,100,329,2,both
spring,,,120,203,323,2,gloss
turn,torn,turn,152,169,321,2,both
time,kal,time,187,133,320,2,both
bright,mix,bright,185,133,318,2,both
fall,zur,fall,193,125,318,2,both
side,sard,side,220,97,317,2,both
fire,for,fire,172,144,316,2,both
rice,rap,rice,112,204,316,2,both
eat,gab,eat,64,251,315,2,both
three,suC,three,99,216,315,2,both
take,tek,take,230,82,312,2,both
appear,fleC,appear,181,125,306,2,both
one,zan,one,200,106,306,2,both
spirit,,,162,144,306,2,gloss
wind,fun,wind,153,152,305,2,both
family,fam,family,176,126,302,2,both
life,cad,life,102,200,302,2,both
horse,hors,horse,218,77,295,2,both
pass,boz,pass,205,87,292,2,both
number,dis,number,169,121,290,2,both
up,rik,up,199,87,286,2,both
work,wark,work,162,123,285,2,both
year,yar,year,186,99,285,2,both
force,ros,force,137,139,276,2,both
blood,bloC,blood,134,141,275,2,both
writing,,,148,127,275,2,gloss
child,gag,child,150,122,272,2,both
enter,droz,enter,196,76,272,2,both
official,,,139,133,272,2,gloss
without,Cev,without,140,131,271,2,both
have,,,157,111,268,2,gloss
prosper,,,80,187,267,2,gloss
black,vog,black,148,118,266,2,both
back,gus,back,150,113,263,2,both
be,,,136,127,263,2,gloss
love,lav,love,134,129,263,2,both
level,xiq,level,163,98,261,2,both
point,leC,point,170,91,261,2,both
cut,kaq,cut,178,80,258,2,both
people,,,124,134,258,2,gloss
electric,drut,electricity,146,111,257,2,both
day,yam,day,124,129,253,2,both
cover,kov,cover,159,93,252,2,both
receive,,,137,115,252,2,gloss
separate,,,120,130,250,2,gloss
foot,gral,foot,157,92,249,2,both
lose,guz,lose,152,97,249,2,both
young,van,young,93,156,249,2,both
city,siC,city,216,31,247,2,both
tree,dip,tree,160,86,246,2,both
vehicle,yan,vehicle,122,124,246,2,both
south,cron,south,167,78,245,2,both
raise,,,160,84,244,2,gloss
middle,mad,middle,130,113,243,2,both
study,sup,study,104,139,243,2,both
green,faz,green,112,129,241,2,both
carry,ken,carry,129,111,240,2,both
deep,mox,deep,111,129,240,2,both
give,gif,give,162,77,239,2,both
hair,halx,hair,126,113,239,2,both
hold,hoq,hold,133,105,238,2,both
woman,gad,woman,102,135,237,2,both
use,yuz,use,165,71,236,2,both
way,yat,way,144,91,235,2,both
many,mav,many,134,98,232,2,both
sand,sand,sand,143,89,232,2,both
join,dun,join,144,87,231,2,both
military,,,83,148,231,2,gloss
dragon,,,135,94,229,2,gloss
female,fim,female,102,127,229,2,both
line,lorn,line,130,98,228,2,both
record,rib,record,129,99,228,2,both
bone,brod,bone,124,103,227,2,both
end,guv,end,146,81,227,2,both
money,nif,money,147,80,227,2,both
village,vix,village,77,150,227,2,both
land,lan,land,138,88,226,2,both
power,laz,power,111,113,224,2,both
air,les,air,139,84,223,2,both
direct,drix,direction,93,130,223,2,both
earth,muk,earth,93,129,222,2,both
reason,sog,reason,54,168,222,2,both
heaven,,,92,129,221,2,gloss
road,gun,road,124,97,221,2,both
yellow,lad,yellow,115,106,221,2,both
branch,lum,branch,159,61,220,2,both
leave,lurv,leave,112,108,220,2,both
that,gal,that,118,102,220,2,both
down,kur,down,159,60,219,2,both
reach,rum,reach,168,51,219,2,both
spread,sag,spread,126,93,219,2,both
beautiful,,,140,78,218,2,gloss
remove,riv,remove,145,73,218,2,both
divide,,,111,105,216,2,gloss
medicine,wiv,medicine,86,129,215,2,both
break,brek,break,115,98,213,2,both
close,kloz,close,112,101,213,2,both
look,luk,look,151,62,213,2,both
pure,,,61,152,213,2,gloss
support,,,144,69,213,2,gloss
male,maf,male,103,109,212,2,both
virtue,,,110,101,211,2,gloss
again,,,115,95,210,2,gloss
broad,,,90,119,209,2,gloss
