kind,first,second,shape,count,distinct
atom,CVC,,CVC,1911,1911
atom,CVCC,,CVCC,3360,491
atom,CCVC,,CCVC,1456,107
atom,CVCVC,,CVCVC,43092,5464
atom,CVCVCVC,,CVCVCVC,1935223,
join,CVC,CVC,CVCCCVC,3651921,3651921
join,CVC,CVCC,CVCCCVCC,6420960,938301
join,CVC,CCVC,CVCCCCVC,2782416,204477
join,CVC,CVCVC,CVCCCVCVC,82348812,10441704
join,CVC,CVCVCVC,CVCCCVCVCVC,3698211153,
join,CVCC,CVC,CVCCCCVC,6420960,938301
join,CVCC,CVCC,CVCCCCVCC,11289600,241081
join,CVCC,CCVC,CVCCCCCVC,4892160,52537
join,CVCC,CVCVC,CVCCCCVCVC,144789120,2682824
join,CVCC,CVCVCVC,CVCCCCVCVCVC,6502349280,
join,CCVC,CVC,CCVCCCVC,2782416,204477
join,CCVC,CVCC,CCVCCCVCC,4892160,52537
join,CCVC,CCVC,CCVCCCCVC,2119936,11449
join,CCVC,CVCVC,CCVCCCVCVC,62741952,584648
join,CCVC,CVCVCVC,CCVCCCVCVCVC,2817684688,
join,CVCVC,CVC,CVCVCCCVC,82348812,10441704
join,CVCVC,CVCC,CVCVCCCVCC,144789120,2682824
join,CVCVC,CCVC,CVCVCCCCVC,62741952,584648
join,CVCVC,CVCVC,CVCVCCCVCVC,1856920464,29855296
join,CVCVC,CVCVCVC,CVCVCCCVCVCVC,83392629516,
join,CVCVCVC,CVC,CVCVCVCCCVC,3698211153,
join,CVCVCVC,CVCC,CVCVCVCCCVCC,6502349280,
join,CVCVCVC,CCVC,CVCVCVCCCCVC,2817684688,
join,CVCVCVC,CVCVC,CVCVCVCCCVCVC,83392629516,
join,CVCVCVC,CVCVCVC,CVCVCVCCCVCVCVC,3745088059729,
