close,open,linker,why
m,m,l,same consonant
m,n,z,voiced
m,b,z,voiced
m,d,z,voiced
m,g,z,voiced
m,p,z,voiced
m,t,z,voiced
m,k,z,voiced
m,h,z,voiced
m,s,z,voiced
m,z,z,voiced
m,f,z,voiced
m,v,z,voiced
m,x,z,voiced
m,j,z,voiced
m,c,z,voiced
m,C,z,voiced
m,w,z,voiced
m,l,z,voiced
m,r,z,voiced
m,y,z,voiced
n,m,z,voiced
n,n,l,same consonant
n,b,z,voiced
n,d,z,voiced
n,g,z,voiced
n,p,z,voiced
n,t,z,voiced
n,k,z,voiced
n,h,z,voiced
n,s,z,voiced
n,z,z,voiced
n,f,z,voiced
n,v,z,voiced
n,x,z,voiced
n,j,z,voiced
n,c,z,voiced
n,C,z,voiced
n,w,z,voiced
n,l,z,voiced
n,r,z,voiced
n,y,z,voiced
q,m,z,voiced
q,n,z,voiced
q,b,z,voiced
q,d,z,voiced
q,g,z,voiced
q,p,z,voiced
q,t,z,voiced
q,k,z,voiced
q,h,z,voiced
q,s,z,voiced
q,z,z,voiced
q,f,z,voiced
q,v,z,voiced
q,x,z,voiced
q,j,z,voiced
q,c,z,voiced
q,C,z,voiced
q,w,z,voiced
q,l,z,voiced
q,r,z,voiced
q,y,z,voiced
b,m,z,voiced
b,n,z,voiced
b,b,l,same consonant
b,d,z,voiced
b,g,z,voiced
b,p,l,voice pair
b,t,z,voiced
b,k,z,voiced
b,h,z,voiced
b,s,z,voiced
b,z,z,voiced
b,f,z,voiced
b,v,z,voiced
b,x,z,voiced
b,j,z,voiced
b,c,z,voiced
b,C,z,voiced
b,w,z,voiced
b,l,z,voiced
b,r,z,voiced
b,y,z,voiced
d,m,z,voiced
d,n,z,voiced
d,b,z,voiced
d,d,l,same consonant
d,g,z,voiced
d,p,z,voiced
d,t,l,voice pair
d,k,z,voiced
d,h,z,voiced
d,s,z,voiced
d,z,z,voiced
d,f,z,voiced
d,v,z,voiced
d,x,z,voiced
d,j,z,voiced
d,c,z,voiced
d,C,z,voiced
d,w,z,voiced
d,l,z,voiced
d,r,z,voiced
d,y,z,voiced
g,m,z,voiced
g,n,z,voiced
g,b,z,voiced
g,d,z,voiced
g,g,l,same consonant
g,p,z,voiced
g,t,z,voiced
g,k,l,voice pair
g,h,z,voiced
g,s,z,voiced
g,z,z,voiced
g,f,z,voiced
g,v,z,voiced
g,x,z,voiced
g,j,z,voiced
g,c,z,voiced
g,C,z,voiced
g,w,z,voiced
g,l,z,voiced
g,r,z,voiced
g,y,z,voiced
p,m,s,voiceless
p,n,s,voiceless
p,b,l,voice pair
p,d,s,voiceless
p,g,s,voiceless
p,p,l,same consonant
p,t,s,voiceless
p,k,s,voiceless
p,h,s,voiceless
p,s,s,voiceless
p,z,s,voiceless
p,f,s,voiceless
p,v,s,voiceless
p,x,s,voiceless
p,j,s,voiceless
p,c,s,voiceless
p,C,s,voiceless
p,w,s,voiceless
p,l,s,voiceless
p,r,s,voiceless
p,y,s,voiceless
t,m,s,voiceless
t,n,s,voiceless
t,b,s,voiceless
t,d,l,voice pair
t,g,s,voiceless
t,p,s,voiceless
t,t,l,same consonant
t,k,s,voiceless
t,h,s,voiceless
t,s,s,voiceless
t,z,s,voiceless
t,f,s,voiceless
t,v,s,voiceless
t,x,s,voiceless
t,j,s,voiceless
t,c,s,voiceless
t,C,s,voiceless
t,w,s,voiceless
t,l,s,voiceless
t,r,s,voiceless
t,y,s,voiceless
k,m,s,voiceless
k,n,s,voiceless
k,b,s,voiceless
k,d,s,voiceless
k,g,l,voice pair
k,p,s,voiceless
k,t,s,voiceless
k,k,l,same consonant
k,h,s,voiceless
k,s,s,voiceless
k,z,s,voiceless
k,f,s,voiceless
k,v,s,voiceless
k,x,s,voiceless
k,j,s,voiceless
k,c,s,voiceless
k,C,s,voiceless
k,w,s,voiceless
k,l,s,voiceless
k,r,s,voiceless
k,y,s,voiceless
s,m,s,voiceless
s,n,s,voiceless
s,b,s,voiceless
s,d,s,voiceless
s,g,s,voiceless
s,p,s,voiceless
s,t,s,voiceless
s,k,s,voiceless
s,h,s,voiceless
s,s,l,same consonant
s,z,l,voice pair
s,f,s,voiceless
s,v,s,voiceless
s,x,s,voiceless
s,j,s,voiceless
s,c,s,voiceless
s,C,s,voiceless
s,w,s,voiceless
s,l,s,voiceless
s,r,s,voiceless
s,y,s,voiceless
z,m,z,voiced
z,n,z,voiced
z,b,z,voiced
z,d,z,voiced
z,g,z,voiced
z,p,z,voiced
z,t,z,voiced
z,k,z,voiced
z,h,z,voiced
z,s,l,voice pair
z,z,l,same consonant
z,f,z,voiced
z,v,z,voiced
z,x,z,voiced
z,j,z,voiced
z,c,z,voiced
z,C,z,voiced
z,w,z,voiced
z,l,z,voiced
z,r,z,voiced
z,y,z,voiced
f,m,s,voiceless
f,n,s,voiceless
f,b,s,voiceless
f,d,s,voiceless
f,g,s,voiceless
f,p,s,voiceless
f,t,s,voiceless
f,k,s,voiceless
f,h,s,voiceless
f,s,s,voiceless
f,z,s,voiceless
f,f,l,same consonant
f,v,l,voice pair
f,x,s,voiceless
f,j,s,voiceless
f,c,s,voiceless
f,C,s,voiceless
f,w,s,voiceless
f,l,s,voiceless
f,r,s,voiceless
f,y,s,voiceless
v,m,z,voiced
v,n,z,voiced
v,b,z,voiced
v,d,z,voiced
v,g,z,voiced
v,p,z,voiced
v,t,z,voiced
v,k,z,voiced
v,h,z,voiced
v,s,z,voiced
v,z,z,voiced
v,f,l,voice pair
v,v,l,same consonant
v,x,z,voiced
v,j,z,voiced
v,c,z,voiced
v,C,z,voiced
v,w,z,voiced
v,l,z,voiced
v,r,z,voiced
v,y,z,voiced
x,m,s,voiceless
x,n,s,voiceless
x,b,s,voiceless
x,d,s,voiceless
x,g,s,voiceless
x,p,s,voiceless
x,t,s,voiceless
x,k,s,voiceless
x,h,s,voiceless
x,s,s,voiceless
x,z,s,voiceless
x,f,s,voiceless
x,v,s,voiceless
x,x,l,same consonant
x,j,l,voice pair
x,c,s,voiceless
x,C,s,voiceless
x,w,s,voiceless
x,l,s,voiceless
x,r,s,voiceless
x,y,s,voiceless
j,m,z,voiced
j,n,z,voiced
j,b,z,voiced
j,d,z,voiced
j,g,z,voiced
j,p,z,voiced
j,t,z,voiced
j,k,z,voiced
j,h,z,voiced
j,s,z,voiced
j,z,z,voiced
j,f,z,voiced
j,v,z,voiced
j,x,l,voice pair
j,j,l,same consonant
j,c,z,voiced
j,C,z,voiced
j,w,z,voiced
j,l,z,voiced
j,r,z,voiced
j,y,z,voiced
c,m,s,voiceless
c,n,s,voiceless
c,b,s,voiceless
c,d,s,voiceless
c,g,s,voiceless
c,p,s,voiceless
c,t,s,voiceless
c,k,s,voiceless
c,h,s,voiceless
c,s,s,voiceless
c,z,s,voiceless
c,f,s,voiceless
c,v,s,voiceless
c,x,s,voiceless
c,j,s,voiceless
c,c,l,same consonant
c,C,l,voice pair
c,w,s,voiceless
c,l,s,voiceless
c,r,s,voiceless
c,y,s,voiceless
C,m,z,voiced
C,n,z,voiced
C,b,z,voiced
C,d,z,voiced
C,g,z,voiced
C,p,z,voiced
C,t,z,voiced
C,k,z,voiced
C,h,z,voiced
C,s,z,voiced
C,z,z,voiced
C,f,z,voiced
C,v,z,voiced
C,x,z,voiced
C,j,z,voiced
C,c,l,voice pair
C,C,l,same consonant
C,w,z,voiced
C,l,z,voiced
C,r,z,voiced
C,y,z,voiced
l,m,z,voiced
l,n,z,voiced
l,b,z,voiced
l,d,z,voiced
l,g,z,voiced
l,p,z,voiced
l,t,z,voiced
l,k,z,voiced
l,h,z,voiced
l,s,z,voiced
l,z,z,voiced
l,f,z,voiced
l,v,z,voiced
l,x,z,voiced
l,j,z,voiced
l,c,z,voiced
l,C,z,voiced
l,w,z,voiced
l,l,l,same consonant
l,r,z,voiced
l,y,z,voiced
r,m,z,voiced
r,n,z,voiced
r,b,z,voiced
r,d,z,voiced
r,g,z,voiced
r,p,z,voiced
r,t,z,voiced
r,k,z,voiced
r,h,z,voiced
r,s,z,voiced
r,z,z,voiced
r,f,z,voiced
r,v,z,voiced
r,x,z,voiced
r,j,z,voiced
r,c,z,voiced
r,C,z,voiced
r,w,z,voiced
r,l,z,voiced
r,r,l,same consonant
r,y,z,voiced
