word,shape,distinct,meaning
mimp,CVCC,no,
mind,CVCC,no,
mint,CVCC,no,
mink,CVCC,no,
miqk,CVCC,yes,who
midj,CVCC,yes,
mitx,CVCC,no,
mikx,CVCC,yes,
misp,CVCC,yes,
mist,CVCC,no,
misk,CVCC,yes,
mift,CVCC,yes,
mixt,CVCC,yes,
milb,CVCC,yes,
mild,CVCC,no,
milp,CVCC,no,
milt,CVCC,no,
milk,CVCC,yes,
milf,CVCC,yes,
milv,CVCC,no,
milx,CVCC,yes,
mirm,CVCC,yes,
mirn,CVCC,no,
mirb,CVCC,no,
mird,CVCC,no,
mirg,CVCC,no,
mirp,CVCC,no,
mirt,CVCC,yes,meter
mirk,CVCC,no,
mirf,CVCC,no,
mirv,CVCC,no,
mirx,CVCC,no,
memp,CVCC,no,
mend,CVCC,no,
ment,CVCC,yes,mate
menk,CVCC,no,
meqk,CVCC,no,
medj,CVCC,no,
metx,CVCC,no,
mekx,CVCC,no,
mesp,CVCC,no,
mest,CVCC,no,
mesk,CVCC,no,
meft,CVCC,no,
mext,CVCC,no,
melb,CVCC,no,
meld,CVCC,no,
melp,CVCC,no,
melt,CVCC,no,
melk,CVCC,no,
melf,CVCC,no,
melv,CVCC,no,
melx,CVCC,no,
merm,CVCC,no,
mern,CVCC,no,
merb,CVCC,no,
merd,CVCC,no,
merg,CVCC,no,
merp,CVCC,no,
mert,CVCC,no,
merk,CVCC,no,
merf,CVCC,no,
merv,CVCC,no,
merx,CVCC,no,
mamp,CVCC,no,
mand,CVCC,no,
mant,CVCC,no,
mank,CVCC,no,
maqk,CVCC,yes,monkey
madj,CVCC,yes,image
matx,CVCC,no,symmetry
makx,CVCC,yes,
masp,CVCC,no,
mast,CVCC,yes,member
mask,CVCC,yes,mask
maft,CVCC,yes,
maxt,CVCC,yes,
malb,CVCC,no,
mald,CVCC,no,
malp,CVCC,no,
malt,CVCC,yes,metal
malk,CVCC,no,
malf,CVCC,no,
malv,CVCC,no,
malx,CVCC,no,
marm,CVCC,yes,mammal
marn,CVCC,no,muon
marb,CVCC,no,
mard,CVCC,no,
marg,CVCC,yes,old
marp,CVCC,no,
mart,CVCC,no,
mark,CVCC,no,
marf,CVCC,no,
marv,CVCC,no,
marx,CVCC,yes,mesh (inter-)
momp,CVCC,yes,
mond,CVCC,yes,
mont,CVCC,no,
monk,CVCC,no,
moqk,CVCC,no,
modj,CVCC,no,
motx,CVCC,no,
mokx,CVCC,no,
mosp,CVCC,no,
most,CVCC,no,most (-est) (large-collection-partition-focus)
mosk,CVCC,no,
moft,CVCC,no,
moxt,CVCC,no,
molb,CVCC,no,
mold,CVCC,no,mold (shape)
molp,CVCC,no,
molt,CVCC,no,vowel large O sound
molk,CVCC,no,
molf,CVCC,no,
molv,CVCC,no,
molx,CVCC,no,
morm,CVCC,no,
morn,CVCC,no,m sound
morb,CVCC,no,
mord,CVCC,no,manifold
morg,CVCC,no,
morp,CVCC,no,10^36
mort,CVCC,no,
mork,CVCC,no,
morf,CVCC,yes,morph
morv,CVCC,no,maybe
morx,CVCC,no,
mump,CVCC,no,
mund,CVCC,no,
munt,CVCC,no,
munk,CVCC,no,
muqk,CVCC,no,
mudj,CVCC,no,
mutx,CVCC,yes,much (large-lot-focus)
mukx,CVCC,yes,
musp,CVCC,no,
must,CVCC,no,
musk,CVCC,yes,
muft,CVCC,yes,
muxt,CVCC,yes,
mulb,CVCC,yes,
muld,CVCC,no,
mulp,CVCC,no,
mult,CVCC,yes,
mulk,CVCC,yes,
mulf,CVCC,no,
mulv,CVCC,no,
mulx,CVCC,yes,
murm,CVCC,yes,
murn,CVCC,no,
murb,CVCC,no,
murd,CVCC,no,
murg,CVCC,no,
murp,CVCC,no,
murt,CVCC,no,
murk,CVCC,no,
murf,CVCC,no,
murv,CVCC,no,
murx,CVCC,no,
nimp,CVCC,no,
nind,CVCC,no,
nint,CVCC,no,
nink,CVCC,no,
niqk,CVCC,no,
nidj,CVCC,no,
nitx,CVCC,no,
nikx,CVCC,no,
nisp,CVCC,no,
nist,CVCC,no,
nisk,CVCC,no,
nift,CVCC,no,
nixt,CVCC,no,
nilb,CVCC,no,
nild,CVCC,no,
nilp,CVCC,no,
nilt,CVCC,no,
nilk,CVCC,no,
nilf,CVCC,no,
nilv,CVCC,no,
nilx,CVCC,no,
nirm,CVCC,no,
nirn,CVCC,no,
nirb,CVCC,no,
nird,CVCC,no,
nirg,CVCC,no,
nirp,CVCC,no,
nirt,CVCC,no,
nirk,CVCC,no,
nirf,CVCC,no,
nirv,CVCC,no,
nirx,CVCC,no,
nemp,CVCC,no,
nend,CVCC,no,
nent,CVCC,no,
nenk,CVCC,no,
neqk,CVCC,no,
nedj,CVCC,no,
netx,CVCC,no,
nekx,CVCC,no,
nesp,CVCC,no,
nest,CVCC,no,
nesk,CVCC,no,
neft,CVCC,no,
next,CVCC,no,
nelb,CVCC,no,
neld,CVCC,no,
nelp,CVCC,no,
nelt,CVCC,no,
nelk,CVCC,no,
nelf,CVCC,no,
nelv,CVCC,no,
nelx,CVCC,no,
nerm,CVCC,no,
nern,CVCC,no,
nerb,CVCC,no,
nerd,CVCC,no,
nerg,CVCC,no,
nerp,CVCC,no,
nert,CVCC,no,
nerk,CVCC,no,
nerf,CVCC,no,
nerv,CVCC,no,
nerx,CVCC,no,
namp,CVCC,no,magnet
nand,CVCC,no,nand
nant,CVCC,no,
nank,CVCC,no,
naqk,CVCC,no,
nadj,CVCC,no,knowledge
natx,CVCC,no,n sound
nakx,CVCC,no,
nasp,CVCC,no,
nast,CVCC,no,
nask,CVCC,no,
naft,CVCC,no,
naxt,CVCC,no,
nalb,CVCC,no,
nald,CVCC,no,
nalp,CVCC,no,
nalt,CVCC,no,
nalk,CVCC,no,
nalf,CVCC,no,
nalv,CVCC,no,
nalx,CVCC,no,
narm,CVCC,no,
narn,CVCC,no,
narb,CVCC,yes,neighbor
nard,CVCC,no,
narg,CVCC,no,
narp,CVCC,no,
nart,CVCC,no,neutron
nark,CVCC,no,any
narf,CVCC,no,
narv,CVCC,no,river
narx,CVCC,no,
nomp,CVCC,no,
nond,CVCC,no,
nont,CVCC,no,
nonk,CVCC,no,
noqk,CVCC,no,
nodj,CVCC,no,
notx,CVCC,no,
nokx,CVCC,no,
nosp,CVCC,no,
nost,CVCC,no,
nosk,CVCC,no,
noft,CVCC,no,
noxt,CVCC,no,
nolb,CVCC,no,
nold,CVCC,no,
nolp,CVCC,no,
nolt,CVCC,no,
nolk,CVCC,no,
nolf,CVCC,no,
nolv,CVCC,no,
nolx,CVCC,no,
norm,CVCC,no,normal (math)
norn,CVCC,no,knee
norb,CVCC,no,
nord,CVCC,no,order
norg,CVCC,no,
norp,CVCC,no,
nort,CVCC,no,
nork,CVCC,no,nor
norf,CVCC,no,
norv,CVCC,no,
norx,CVCC,no,nourish
nump,CVCC,no,
nund,CVCC,no,
nunt,CVCC,no,
nunk,CVCC,no,
nuqk,CVCC,yes,bear (animal)
nudj,CVCC,no,
nutx,CVCC,no,
nukx,CVCC,no,
nusp,CVCC,no,
nust,CVCC,yes,embed
nusk,CVCC,no,
nuft,CVCC,no,
nuxt,CVCC,no,
nulb,CVCC,no,
nuld,CVCC,no,
nulp,CVCC,no,
nult,CVCC,no,
nulk,CVCC,no,
nulf,CVCC,no,
nulv,CVCC,no,
nulx,CVCC,no,
nurm,CVCC,no,
nurn,CVCC,no,
nurb,CVCC,no,
nurd,CVCC,no,
nurg,CVCC,no,
nurp,CVCC,no,
nurt,CVCC,no,
nurk,CVCC,no,
nurf,CVCC,no,vowel large U sound
nurv,CVCC,no,nerve
nurx,CVCC,no,
bimp,CVCC,yes,
bind,CVCC,no,
bint,CVCC,no,
bink,CVCC,no,
biqk,CVCC,no,
bidj,CVCC,no,
bitx,CVCC,no,
bikx,CVCC,yes,
bisp,CVCC,no,
bist,CVCC,yes,beast
bisk,CVCC,no,
bift,CVCC,yes,
bixt,CVCC,yes,
bilb,CVCC,no,
bild,CVCC,yes,build
bilp,CVCC,yes,
bilt,CVCC,no,
bilk,CVCC,yes,
bilf,CVCC,yes,
bilv,CVCC,no,
bilx,CVCC,yes,
birm,CVCC,yes,
birn,CVCC,no,
birb,CVCC,no,
bird,CVCC,no,
birg,CVCC,no,
birp,CVCC,no,
birt,CVCC,no,
birk,CVCC,no,
birf,CVCC,no,
birv,CVCC,no,
birx,CVCC,no,
bemp,CVCC,no,
bend,CVCC,yes,bend
bent,CVCC,no,
benk,CVCC,no,
beqk,CVCC,no,
bedj,CVCC,no,
betx,CVCC,no,
bekx,CVCC,no,
besp,CVCC,no,
best,CVCC,no,
besk,CVCC,yes,basic
beft,CVCC,no,
bext,CVCC,no,
belb,CVCC,no,
beld,CVCC,no,
belp,CVCC,no,
belt,CVCC,no,
belk,CVCC,no,
belf,CVCC,no,
belv,CVCC,no,
belx,CVCC,no,
berm,CVCC,no,
