tree,certainty,words,rock,moon,english
kaku,held,1,jak,jak,wisdom
kaku,held,1,kax,kax,perfect
kama,held,1,kam,ham,hmm
kama,held,1,kam,kam,calm
kama,held,1,xam,xam,chime
kama,held,1,xam,xam,heaven
kama,held,1,xam,yam,day
kana,held,1,gan,gan,garden
kana,held,1,jan,jan,spirit
kana,held,1,jan,jaq,count
kana,held,1,kan,han,zero
kana,held,1,kan,kan,aggregate
kana,held,1,kan,kaq,object
kana,held,1,xan,yan,vehicle
kana,held,1,xan,yaq,permanent
kapa,held,1,gab,gab,eat
kapa,held,1,gav,gav,how (missing-action-focus)
kapa,held,1,kab,kab,receive
kapa,held,1,kaf,kaf,cough
kapa,held,1,kap,hap,event
kapa,held,1,xab,xab,seven
kapa,held,1,xap,yap,yep
kata,held,1,gad,gad,god
kata,held,1,gad,gal,too
kata,held,1,gad,gar,language
kata,held,1,gaz,gaC,gather
kata,held,1,gaz,gaz,possess
kata,held,1,jas,jas,just (close-focus)
kata,held,1,kad,had,head
kata,held,1,kad,hal,how
kata,held,1,kad,har,era
kata,held,1,kad,kal,time
kata,held,1,kad,kar,call
kata,held,1,kas,has,hyper
kata,held,1,kat,hat,at
kata,held,1,kat,kat,focus
kata,held,1,kaz,haz,have
kata,held,1,kaz,kaz,cause
kata,held,1,xad,xal,share
kata,held,1,xad,yad,away
kata,held,1,xad,yal,turquoise
kata,held,1,xad,yar,year
kata,held,1,xat,xat,or
kata,held,1,xat,yat,way
kika,held,1,kix,hix,peach (color)
kika,held,1,kix,kix,process
kika,held,1,xik,xik,computation
kima,held,1,gim,gem,game
kima,held,1,gim,gim,magic
kima,held,1,kim,hem,hey
kima,held,1,kim,him,nothing
kima,held,1,kim,kim,climb
kima,held,1,xim,xim,speech
kima,held,1,xim,yem,yum (food)
kina,held,1,gin,gin,sync
kina,held,1,jin,jin,paradise
kina,held,1,kin,heq,hang
kina,held,1,kin,hin,hi
kina,held,1,kin,ken,communicate
kina,held,1,kin,kiq,action
kina,held,1,xin,xen,result
kina,held,1,xin,xin,machine
kina,held,1,xin,xiq,will
kina,held,1,xin,yiq,impermanent
kipa,held,1,gib,gib,guide
kipa,held,1,gif,gif,give
kipa,held,1,kip,hip,group
kipa,held,1,kip,kep,clone
kipa,held,1,kip,kip,tune
kipa,held,1,kiv,kiv,intent
kipa,held,1,xip,xip,imagine
kipa,held,1,xiv,xiv,destroy
kipa,held,1,xiv,yev,sort
kita,held,1,gid,gir,that
kita,held,1,gis,gis,will (future)
kita,held,1,git,git,infinite
kita,held,1,giz,giz,position
kita,held,1,jid,jil,stream
kita,held,1,jit,jet,throw
kita,held,1,jit,jit,digit
kita,held,1,kid,hid,not hidden
kita,held,1,kid,hir,hear
kita,held,1,kid,kid,could
kita,held,1,kid,kil,cyan
kita,held,1,kis,his,snake
kita,held,1,kis,kes,case (situation)
kita,held,1,kis,kis,bottom
kita,held,1,kit,hit,heat
kita,held,1,kit,ket,but
kita,held,1,kiz,hez,every
kita,held,1,kiz,kiz,if
kita,held,1,xid,xed,should
kita,held,1,xid,xid,grey
kita,held,1,xis,xic,eye
kita,held,1,xit,xit,provide
kita,held,1,xit,yit,night
kuka,held,1,guj,guj,memory
kuka,held,1,kuj,koj,fool
kuka,held,1,kux,kox,cell (biology)
kuka,held,1,xug,yog,practice of focusing on x (-ism)
kuka,held,1,xuk,xok,copy
kuma,held,1,gum,gum,come
kuma,held,1,jum,jom,pattern
kuma,held,1,kum,hom,home
kuma,held,1,kum,hum,urge
kuma,held,1,kum,kom,five
kuma,held,1,kum,kum,back area
kuma,held,1,xum,xom,now
kuma,held,1,xum,xum,sky
kuna,held,1,gun,goq,job
kuna,held,1,gun,gun,representation
kuna,held,1,kun,hoq,hold
kuna,held,1,kun,hun,illusion
kuna,held,1,kun,huq,uh
kuna,held,1,kun,kon,and
kuna,held,1,kun,kuq,manner
kuna,held,1,xun,xun,change
kupa,held,1,gub,gub,like (filler)
kupa,held,1,guv,guv,end
kupa,held,1,kub,hub,x-axis
kupa,held,1,kub,kub,cube
kupa,held,1,kuf,kof,default
kupa,held,1,kuf,kuf,clue
kupa,held,1,kup,hop,hope
kupa,held,1,kup,kop,scope
kupa,held,1,kup,kup,tone
kupa,held,1,kuv,hov,floating point
kupa,held,1,kuv,huv,handle
kupa,held,1,kuv,kov,cover
kupa,held,1,kuv,kuv,divide
kupa,held,1,xup,xup,ship
kupa,held,1,xuv,xuv,return
kupa,held,1,xuv,yov,of
kupa,held,1,xuv,yuv,view
kuta,held,1,gud,god,gold
kuta,held,1,gud,gol,goal
kuta,held,1,gud,gul,exponent
kuta,held,1,gus,gus,back (front)
kuta,held,1,gut,got,antenna
kuta,held,1,gut,gut,gut
kuta,held,1,guz,guz,lose
kuta,held,1,jud,jul,universe
kuta,held,1,jud,jul,flow
kuta,held,1,kud,hod,period of x (-hood)
kuta,held,1,kud,hol,whole
kuta,held,1,kud,hud,hide
kuta,held,1,kud,kod,code
kuta,held,1,kud,kol,all
kuta,held,1,kud,kud,miss (didn't touch)
kuta,held,1,kud,kul,cool (interjection)
kuta,held,1,kud,kur,down
kuta,held,1,kus,kus,constant
kuta,held,1,kut,hut,heed
kuta,held,1,kuz,hoz,cardinal number
kuta,held,1,kuz,huz,duration
kuta,held,1,kuz,koz,z-axis
kuta,held,1,xud,xol,show
kuta,held,1,xud,xud,quiet
kuta,held,1,xud,xul,subtract
kuta,held,1,xud,yol,yell
kuta,held,1,xud,yul,polynomial
kuta,held,1,xus,yuc,with (con-)
kuta,held,1,xut,xut,shout
kuta,held,1,xut,xut,shelter
kuta,held,1,xut,yut,yet
kuta,held,1,xuz,yuz,use
maka,held,1,mag,mag,fruit
maka,held,1,maj,maj,magenta
maka,held,1,mak,mak,meat
maka,held,1,mak,wak,walk
mana,held,1,man,man,mind
mana,held,1,man,maq,harmony
mana,held,1,man,wan,why
mana,held,1,man,waq,um
mapa,held,1,mab,mab,source
mapa,held,1,maf,maf,male
mapa,held,1,map,map,map (map/reduce)
mapa,held,1,mav,mav,many
mapa,held,1,mav,wav,exist
mata,held,1,mad,mad,middle
mata,held,1,mad,mal,molecule
mata,held,1,mad,mar,symbol
mata,held,1,mad,wal,while
mata,held,1,mad,war,wear
mata,held,1,mas,mac,great
mata,held,1,mat,mat,forward
mata,held,1,mat,wat,white
mata,held,1,maz,maz,flow (speech utterance)
mata,held,1,maz,waC,water
mika,held,1,mig,wig,kaleidoscope
mika,held,1,mij,mej,model
mika,held,1,mik,mek,make
mika,held,1,mik,wek,week
mika,held,1,mix,mix,network
mina,held,1,min,men,main
mina,held,1,min,meq,mine
mina,held,1,min,min,not know
mina,held,1,min,miq,motion
mina,held,1,min,win,when (time location)
mina,held,1,min,wiq,wing
mipa,held,1,miv,miv,idea
mipa,held,1,miv,wev,wave
mipa,held,1,miv,wiv,connection network (neighborhood)
mita,held,1,mid,mid,positive
mita,held,1,mid,mir,bright
mita,held,1,mis,mes,month
mita,held,1,mis,mis,miss (longing)
mita,held,1,mis,wis,inverse
mita,held,1,mit,mit,meet
mita,held,1,mit,wet,wait
mita,held,1,miz,wez,fifteen
mita,held,1,miz,wiz,solve
muka,held,1,mug,mog,meaning
