term,meaning,fate,became
bil,limit/restrict,removed,
fil,feel,removed,
gir,that,removed,
hir,hear,removed,
jil,stream,removed,
kil,cyan,removed,
lil,boolean,removed,
mir,bright,removed,
nir,nerd,removed,
ril,relation,removed,
ris,express,reused,nine
ruv,local,reused,ten
sil,more (-er),removed,
tir,TRUE,removed,
vil,manifest,removed,
vir,remote (far),removed,
zil,perspective,removed,
zir,pertaining to x (pleasantry),removed,
baks,rectangle,removed,
bamp,bump,removed,
band,band (group),removed,
barb,barb,removed,
barl,bare,removed,
bask,otherwise,removed,
bast,prime,removed,
besk,basic,removed,
birs,beer,removed,
blab,blob,removed,
bleq,eject,removed,
blet,bait,removed,
blim,beam,removed,
bliz,our,removed,
blof,blow,removed,
blor,blur,removed,
bloz,boson,removed,
blum,bloom,removed,
blut,butt,removed,
borl,boil,removed,
born,bury,removed,
borp,burp,removed,
bral,ball,removed,
bred,braid,removed,
brev,brave,removed,
brif,brief,removed,
brip,beep,removed,
brit,orbit,removed,
briz,simple,removed,
brob,decimal,removed,
brol,brow,removed,
broq,membrane,removed,
bruz,buzz,removed,
bunz,boon,removed,
bust,burst,removed,
carn,ion,removed,
Carv,forever,removed,
cets,mole (measurement),removed,
crav,thrive,removed,
crit,threat,removed,
crum,through/tunnel,removed,
crut,puzzle,removed,
dalg,magnitude,removed,
dalt,dependent,removed,
darn,damn/dam,removed,
dask,desk,removed,
diqk,deny,removed,
disk,discover,removed,
djak,fingernail,removed,
djam,jam,removed,
djas,justice,removed,
djat,deal,removed,
djek,reject,removed,
djin,gene,removed,
djir,deer,removed,
djiz,jeez,removed,
djud,jew,removed,
djul,jewel,removed,
djus,juice,removed,
dolv,deliver,removed,
domp,dump,removed,
dort,dirt,removed,
drak,harm,removed,
dram,human,removed,
drav,candela (measurement),removed,
dref,definite,removed,
dreg,drag,removed,
drep,,removed,
drex,hyphen,removed,
drig,degree,removed,
driv,fate,removed,
dron,drone (sound),removed,
drul,drool,removed,
drum,drum,removed,
drus,radius,removed,
dusk,across (trans-)/cross,removed,
fand,fund,removed,
faqk,funk,removed,
fart,fart,removed,
fent,faint (dizzy),removed,
film,film (material),removed,
fiqk,even (though),removed,
flap,hop,removed,
flek,mirror,removed,
flem,flame,removed,
flid,field (math),removed,
flip,flip,removed,
flob,lob,removed,
flok,glow,removed,
flot,float,removed,
flud,fluid,removed,
flux,flush,removed,
fluz,complex,removed,
forn,fine (good),removed,
fort,fort,removed,
fret,frame,removed,
frez,phrase,removed,
frik,freak,removed,
frin,funny,removed,
fris,hiss,removed,
friz,freeze,removed,
funt,photon,removed,
galt,guilt,removed,
gant,-gon (polygon),removed,
garz,again (re-),removed,
glan,glide,removed,
glav,glove,removed,
gled,lay,removed,
glen,gluon,removed,
glet,gate,removed,
glob,planet,removed,
glok,your,removed,
glor,glare,removed,
gluk,lick,removed,
golx,only,removed,
gost,ghost,removed,
grad,grid,removed,
gram,gram (measure),removed,
grap,issue,removed,
grav,graviton,removed,
gred,grade (score),removed,
grem,grim,removed,
grep,grape,removed,
gril,case (container),removed,
grit,hello,removed,
griv,grieve,removed,
gror,growl,removed,
grum,row,removed,
grup,group (math),removed,
grut,grit (strength),removed,
habz,abstract,removed,
hadj,hedge,removed,
halc,ethnicity,removed,
hald,elm,removed,
halm,hue,removed,
halz,hell (emphasize surprise),removed,
hamp,ampere (electric current),removed,
hark,arc,removed,
harq,along,removed,
hask,explore,removed,
hatx,hole,removed,
heps,ape,removed,
heqk,angry,removed,
hidj,polyhedron,removed,
hilk,elk,removed,
hint,hint,removed,
hord,ahead,removed,
horx,oh,removed,
hutx,itch,removed,
kaln,kaon,removed,
kalt,cult,removed,
kalv,kelvin,removed,
kamp,camp,removed,
kark,quark,removed,
kart,crown,removed,
kast,cast,removed,
kedj,accept,removed,
kirn,cure,removed,
klek,click,removed,
klem,claim,removed,
klir,clear,removed,
klis,nucleus,removed,
klor,color,removed,
klum,cue,removed,
klun,community,removed,
klut,cute,removed,
korb,cone,removed,
korg,encounter,removed,
kork,curl,removed,
korn,category,removed,
kort,court (justice),removed,
korx,xor,removed,
kraf,comfort,removed,
krag,node,removed,
krak,crack,removed,
kraq,ring (sound),removed,
krax,crash,removed,
kred,credit,removed,
krek,cake,removed,
krem,chemical,removed,
krep,crypto,removed,
krev,crave,removed,
krid,liquid,removed,
kriq,care,removed,
krok,croak,removed,
krol,cull,removed,
krom,ohm (measurement),removed,
krot,right (vs. wrong),removed,
laks,lack,removed,
laqk,wool,removed,
larg,element,removed,
larp,lepton,removed,
lart,let,removed,
last,last,removed,
ledj,theory,removed,
limp,limp,removed,
lint,lint,removed,
lirk,ratio,removed,
list,list,removed,
