position,size,sound
open,1,m
open,1,n
open,1,b
open,1,d
open,1,g
open,1,p
open,1,t
open,1,k
open,1,h
open,1,s
open,1,z
open,1,f
open,1,v
open,1,x
open,1,j
open,1,c
open,1,C
open,1,w
open,1,l
open,1,r
open,1,y
open,2,bl
open,2,br
open,2,cr
open,2,dj
open,2,dr
open,2,fl
open,2,fr
open,2,gl
open,2,gr
open,2,kl
open,2,kr
open,2,pl
open,2,pr
open,2,tr
open,2,tx
open,2,vr
close,1,m
close,1,n
close,1,q
close,1,b
close,1,d
close,1,g
close,1,p
close,1,t
close,1,k
close,1,s
close,1,z
close,1,f
close,1,v
close,1,x
close,1,j
close,1,c
close,1,C
close,1,l
close,1,r
close,2,dj
close,2,ft
close,2,kx
close,2,lb
close,2,ld
close,2,lf
close,2,lk
close,2,lp
close,2,lt
close,2,lv
close,2,lx
close,2,mp
close,2,nd
close,2,nk
close,2,nt
close,2,qk
close,2,rb
close,2,rd
close,2,rf
close,2,rg
close,2,rk
close,2,rm
close,2,rn
close,2,rp
close,2,rt
close,2,rv
close,2,rx
close,2,sk
close,2,sp
close,2,st
close,2,tx
close,2,xt
