tune,english
baltx,belch
bardj,barge
dendj,danger
dents,dense
handj,angel
hanst,honest
harnz,harness
hartx,arch
hintx,inch (measurement)
honts,ounce
kantx,crunch
kardj,cartilage
kartx,cache
koltx,ouch
landj,lounge
lardj,large
lorst,lust
mants,monster
marst,must
martx,march
mints,mince
mordj,merge
nardj,farenheit
pantx,hit
partx,land (perch)
ponts,pounce
rints,rinse
sants,since
sindj,singe
skral,scrawl
skrap,scrap
skrep,scrape
skrin,screen (display)
skriz,squeeze
skrol,scroll
sortx,search
splax,splash
split,split
spral,spiral
sprat,sprout
spred,spread
spriq,spring (tool)
spriz,react
strap,strap
straq,strong
strat,strict
strax,stretch
streq,stray
strip,stripe
striq,string
strol,stroll
struk,strike
strup,strip
tants,tense
wartx,watt (measurement)
wints,wince
baCmol,cotton
badjim,mix
badjur,badger
badkan,prank
bafmik,buff (strength)
bakfar,backfire
baklax,backwash
bakpak,backpack
bakpid,backpedal
baktan,portion
baktim,fond
balbut,bulb
baldar,reciprocate
baldik,cousin
baldiq,building
balfal,erupt
baltan,belt
baltin,title
balzeq,assure
balziq,guarantee
bambuz,bamboozle
banben,variant
bandiq,band (mark)
banfut,bat (action)
banlin,transact
bantur,banter
banxiq,deform
banxol,wrench (move with force)
banzap,bounce
baptaz,baptize
barbar,stutter
barked,barricade
barkiz,bark (dog)
barkuk,plum
barkuv,barbecue
barlot,ballot
barman,table
barnet,barn
barsim,alfalfa (vegetable)
bartur,barter
barzak,barrier
basalt,basalt
baskin,bask
bastan,bust
bastik,bust (action)
batcam,batcam
batran,butter
batras,buttress
batrik,battery
batsak,dough
batxat,batch
baznis,business
bedjup,tragic
bentul,continent
beqkat,bank (holding)
besral,panic
biClak,plead
bigord,go ahead
bigvun,go on
bikxun,beg
biletx,bewitch
bilkad,hardly
bilpan,betray
bintal,morbid
biqgan,cookie
bisidj,besiege
bisman,horror
bisold,behold
bistol,bestow
bitxiq,beach
bixmam,horrible
blabaq,blab
blagan,mess
blagiq,blog
blanit,blah
blants,balance
blasum,blossom
blatuz,blot
blemix,blemish
bligur,beleaguer
blimal,bill (beak)
blizan,belligerent
bloCiq,bleed
blotak,bloat
bolant,buoyant
boldoq,fluctuate
bolkat,boycott
bordan,board
borliq,burly
botxiq,fickle
brabat,bribe
braCor,brother
bragod,brag
brasal,tend (I tend to)
brekal,breccia
bresig,brace
bretik,brat
briCan,breath
bridiq,breed
brikar,break (short time)
brilon,embryo
brisal,bristle
brivet,abbreviate
brudig,brood
brulik,brew
brumor,remember
budanz,abundant
budjuk,remedy
bunduk,hazelnut
burbir,barbarian
butxoq,augment
cadruq,thud
camput,impute
candor,thunder
canlez,analyze
canmex,enmesh
capmaz,optimize
capold,uphold
carkat,bargain
carkav,archive
catmaz,itemize
catmet,automate
catxar,chair
ceksaz,excise
centor,short
cespaz,espouse
cimrak,theme
cintan,thin
cislas,unless
cistut,institute
citarq,get along
cornam,thorn
cortin,authority
covkam,overcome
covluk,overlook
cradiq,thread
cratol,throttle
craxak,thrash
craxol,threshold
crelak,toil
cretan,threaten
crilag,thrill
cronam,throne
cropod,arthropod
crugal,nonsense (rubbish)
crumag,thrum
cugram,gap
cukbat,hollow
cuvorz,reverse
dadlak,deadlock
dagram,diagram
dagras,digress
dakbil,bill (bird)
daktip,duct
dalfin,dolphin
dalget,delegate
dalkes,delicacy
dalket,delicate
damand,diamond
dampat,damp
damtor,diameter
dandal,drab
dandeq,pawn
danlod,download
dansor,dinosaur
dapdet,dilapidate
daplit,deplete
daqkit,donkey
daqkot,dunk
darfan,dwarf
darsok,douse
dartik,dart
darxam,philosophical system
dasmis,dismiss
daspet,dissipate
dastin,disparity
dastut,destitute
datnet,detonate
davort,divert
degrad,degrade
dempal,extend
demsit,democracy
dentok,dent
depket,deprecate
deqgal,dangle
deqzit,stool
dibaqk,debunk
difand,defend
diflak,deflect
diflet,deflate
difrad,defraud
difram,diaphragm
difras,difference (subtraction)
dignaf,dignify
dijont,disjoint
dijtal,digital
diklar,declare
diklen,decline
diktet,dictate
dilmit,delimit
diltan,delta (water)
dimalx,demolish
dimnux,diminution
dimpoz,decompose
dipart,department
diplav,deplore
diplok,deploy
diport,deport
dipras,depress
diprav,deprive
dirdar,elm (tree)
disand,descend
disant,dissent
disard,dissuade
disden,disdain
disfig,disfigure
dislok,dislocate
disnet,disseminate
dispal,dispel
dispar,disability
dispat,despite
dispaz,despise
dispir,disappear
disput,dispute
disrap,disrupt
disrig,disregard
distal,distill
ditast,detest
ditatx,detach
ditxat,ditch
divast,divest
divors,divorce
dixdak,dish
dixval,dishevel
dizast,disaster
dizurv,deserve
djaged,jagged
djagol,juggle
djakin,jockey
djakiz,jack (take)
djakur,jack (tire)
djalem,gel
djaluk,educate
djalun,exchange
djaqiq,stiff
djaras,run into
djaret,gyrate
djarul,jowl
