word,shape,distinct,meaning
blim,CCVC,yes,beam
blin,CCVC,no,belly
bliq,CCVC,no,
blib,CCVC,no,
blid,CCVC,no,
blig,CCVC,no,
blip,CCVC,no,
blit,CCVC,no,
blik,CCVC,no,
blis,CCVC,no,
bliz,CCVC,yes,our
blif,CCVC,no,
bliv,CCVC,no,
blix,CCVC,no,
blij,CCVC,no,
blic,CCVC,no,
bliC,CCVC,no,
blem,CCVC,no,
blen,CCVC,no,
bleq,CCVC,no,eject
bleb,CCVC,no,
bled,CCVC,no,
bleg,CCVC,no,
blep,CCVC,no,
blet,CCVC,yes,bait
blek,CCVC,no,
bles,CCVC,no,
blez,CCVC,no,
blef,CCVC,no,
blev,CCVC,no,
blex,CCVC,no,
blej,CCVC,no,
blec,CCVC,no,
bleC,CCVC,no,
blam,CCVC,no,
blan,CCVC,no,
blaq,CCVC,no,
blab,CCVC,yes,blob
blad,CCVC,no,
blag,CCVC,no,
blap,CCVC,no,
blat,CCVC,no,
blak,CCVC,no,
blas,CCVC,no,
blaz,CCVC,no,
blaf,CCVC,no,
blav,CCVC,no,
blax,CCVC,no,
blaj,CCVC,no,
blac,CCVC,no,
blaC,CCVC,no,
blal,CCVC,no,
blar,CCVC,no,
blom,CCVC,no,
blon,CCVC,no,
bloq,CCVC,no,
blob,CCVC,no,
blod,CCVC,no,
blog,CCVC,no,
blop,CCVC,no,
blot,CCVC,no,
blok,CCVC,no,
blos,CCVC,no,
bloz,CCVC,yes,boson
blof,CCVC,yes,blow
blov,CCVC,no,
blox,CCVC,no,
bloj,CCVC,no,
bloc,CCVC,no,
bloC,CCVC,no,blood
blol,CCVC,no,
blor,CCVC,yes,blur
blum,CCVC,yes,bloom
blun,CCVC,no,
bluq,CCVC,no,
blub,CCVC,yes,
blud,CCVC,no,
blug,CCVC,no,
blup,CCVC,no,
blut,CCVC,yes,butt
bluk,CCVC,no,
blus,CCVC,no,
bluz,CCVC,no,
bluf,CCVC,no,
bluv,CCVC,no,
blux,CCVC,yes,
bluj,CCVC,no,
bluc,CCVC,no,
bluC,CCVC,no,
blul,CCVC,no,
blur,CCVC,no,
brim,CCVC,no,
brin,CCVC,no,
briq,CCVC,no,bring
brib,CCVC,no,
brid,CCVC,no,
brig,CCVC,yes,insecta
brip,CCVC,no,beep
brit,CCVC,no,orbit
brik,CCVC,no,
bris,CCVC,no,
briz,CCVC,no,simple
brif,CCVC,yes,brief
briv,CCVC,no,
brix,CCVC,no,
brij,CCVC,no,
bric,CCVC,no,
briC,CCVC,no,
brem,CCVC,no,
bren,CCVC,no,brain
breq,CCVC,no,
breb,CCVC,no,
bred,CCVC,no,braid
breg,CCVC,no,
brep,CCVC,no,
bret,CCVC,no,
brek,CCVC,no,break (pieces)
bres,CCVC,no,
brez,CCVC,no,
bref,CCVC,no,
brev,CCVC,no,brave
brex,CCVC,no,
brej,CCVC,no,
brec,CCVC,no,
breC,CCVC,no,
bram,CCVC,no,
bran,CCVC,no,
braq,CCVC,no,
brab,CCVC,no,
brad,CCVC,no,
brag,CCVC,no,
brap,CCVC,no,
brat,CCVC,no,big
brak,CCVC,yes,bacteria
bras,CCVC,no,
braz,CCVC,no,box
braf,CCVC,no,
brav,CCVC,no,
brax,CCVC,no,
braj,CCVC,no,
brac,CCVC,no,
braC,CCVC,no,
bral,CCVC,no,ball
brar,CCVC,no,
brom,CCVC,no,
bron,CCVC,no,
broq,CCVC,no,membrane
brob,CCVC,no,decimal
brod,CCVC,no,bone
brog,CCVC,no,
brop,CCVC,no,
brot,CCVC,no,
brok,CCVC,no,
bros,CCVC,no,
broz,CCVC,no,
brof,CCVC,no,
brov,CCVC,no,
brox,CCVC,no,
broj,CCVC,no,
broc,CCVC,no,
broC,CCVC,no,
brol,CCVC,no,brow
bror,CCVC,no,
brum,CCVC,no,
brun,CCVC,no,
bruq,CCVC,no,
brub,CCVC,no,
brud,CCVC,no,
brug,CCVC,no,
brup,CCVC,no,
brut,CCVC,no,
bruk,CCVC,yes,beak
brus,CCVC,no,
bruz,CCVC,no,buzz
bruf,CCVC,no,
bruv,CCVC,no,
brux,CCVC,no,
bruj,CCVC,no,
bruc,CCVC,no,
bruC,CCVC,no,
brul,CCVC,no,
brur,CCVC,no,
djim,CCVC,no,
djin,CCVC,yes,gene
djiq,CCVC,no,
djib,CCVC,no,
djid,CCVC,yes,
djig,CCVC,no,
djip,CCVC,yes,over
djit,CCVC,no,
djik,CCVC,no,
djis,CCVC,no,
djiz,CCVC,yes,jeez
djif,CCVC,yes,
djiv,CCVC,no,
djix,CCVC,yes,
djij,CCVC,no,
djic,CCVC,no,
djiC,CCVC,no,
djem,CCVC,no,
djen,CCVC,no,
djeq,CCVC,no,
djeb,CCVC,no,
djed,CCVC,no,
djeg,CCVC,no,
djep,CCVC,no,
djet,CCVC,no,
djek,CCVC,yes,reject
djes,CCVC,no,
djez,CCVC,no,
djef,CCVC,no,
djev,CCVC,no,
djex,CCVC,no,
djej,CCVC,no,
djec,CCVC,no,
djeC,CCVC,no,
djam,CCVC,yes,jam
djan,CCVC,no,
djaq,CCVC,no,
djab,CCVC,yes,
djad,CCVC,no,
djag,CCVC,no,
djap,CCVC,no,
djat,CCVC,yes,deal
djak,CCVC,no,fingernail
djas,CCVC,yes,justice
djaz,CCVC,no,joy
djaf,CCVC,yes,
djav,CCVC,no,
djax,CCVC,yes,
djaj,CCVC,no,
djac,CCVC,no,
djaC,CCVC,yes,
djal,CCVC,no,
djar,CCVC,no,
djom,CCVC,no,
djon,CCVC,no,
djoq,CCVC,no,
djob,CCVC,no,
djod,CCVC,no,
djog,CCVC,no,
djop,CCVC,no,
djot,CCVC,no,
djok,CCVC,yes,joke
djos,CCVC,no,
djoz,CCVC,no,
djof,CCVC,no,
djov,CCVC,no,
djox,CCVC,no,
djoj,CCVC,no,
djoc,CCVC,no,
djoC,CCVC,no,
djol,CCVC,no,
djor,CCVC,no,
djum,CCVC,no,
djun,CCVC,no,
djuq,CCVC,no,
djub,CCVC,no,
djud,CCVC,yes,jew
djug,CCVC,no,
djup,CCVC,yes,
djut,CCVC,no,
djuk,CCVC,no,
djus,CCVC,yes,juice
djuz,CCVC,no,
djuf,CCVC,yes,
djuv,CCVC,no,
djux,CCVC,yes,
djuj,CCVC,no,
djuc,CCVC,no,
djuC,CCVC,yes,
djul,CCVC,yes,jewel
djur,CCVC,no,
drim,CCVC,no,dream
drin,CCVC,no,
driq,CCVC,no,
drib,CCVC,yes,10^6
drid,CCVC,no,
drig,CCVC,no,degree
drip,CCVC,no,
drit,CCVC,no,
drik,CCVC,no,
dris,CCVC,no,
driz,CCVC,no,
drif,CCVC,no,
driv,CCVC,no,fate
drix,CCVC,yes,direction
drij,CCVC,no,
dric,CCVC,no,
driC,CCVC,no,
drem,CCVC,no,
dren,CCVC,no,
dreq,CCVC,no,
dreb,CCVC,no,
dred,CCVC,no,
dreg,CCVC,no,drag
drep,CCVC,no,
