word,shape,distinct,meaning
blimp,CCVCC,yes,
blind,CCVCC,yes,
blint,CCVCC,yes,
blink,CCVCC,yes,
bliqk,CCVCC,yes,blink
blidj,CCVCC,yes,
blitx,CCVCC,yes,
blikx,CCVCC,yes,
blisp,CCVCC,yes,
blist,CCVCC,yes,
blisk,CCVCC,yes,
blift,CCVCC,yes,
blixt,CCVCC,yes,
blilb,CCVCC,yes,
blild,CCVCC,yes,
blilp,CCVCC,yes,
blilt,CCVCC,yes,
blilk,CCVCC,yes,
blilf,CCVCC,yes,
blilv,CCVCC,yes,
blilx,CCVCC,yes,
blirm,CCVCC,yes,
blirn,CCVCC,yes,
blirb,CCVCC,yes,
blird,CCVCC,yes,
blirg,CCVCC,yes,
blirp,CCVCC,yes,
blirt,CCVCC,yes,
blirk,CCVCC,yes,
blirf,CCVCC,yes,
blirv,CCVCC,yes,
blirx,CCVCC,yes,
blemp,CCVCC,yes,
blend,CCVCC,yes,
blent,CCVCC,yes,
blenk,CCVCC,yes,
bleqk,CCVCC,yes,
bledj,CCVCC,yes,
bletx,CCVCC,yes,
blekx,CCVCC,yes,
blesp,CCVCC,yes,
blest,CCVCC,yes,
blesk,CCVCC,yes,
bleft,CCVCC,yes,
blext,CCVCC,yes,
blelb,CCVCC,yes,
bleld,CCVCC,yes,
blelp,CCVCC,yes,
blelt,CCVCC,yes,
blelk,CCVCC,yes,
blelf,CCVCC,yes,
blelv,CCVCC,yes,
blelx,CCVCC,yes,
blerm,CCVCC,yes,
blern,CCVCC,yes,
blerb,CCVCC,yes,
blerd,CCVCC,yes,
blerg,CCVCC,yes,
blerp,CCVCC,yes,
blert,CCVCC,yes,
blerk,CCVCC,yes,
blerf,CCVCC,yes,
blerv,CCVCC,yes,
blerx,CCVCC,yes,
blamp,CCVCC,yes,
bland,CCVCC,yes,blend
blant,CCVCC,yes,
blank,CCVCC,yes,
blaqk,CCVCC,yes,
bladj,CCVCC,yes,
blatx,CCVCC,yes,
blakx,CCVCC,yes,
blasp,CCVCC,yes,
blast,CCVCC,yes,blast
blask,CCVCC,yes,
blaft,CCVCC,yes,
blaxt,CCVCC,yes,
blalb,CCVCC,yes,
blald,CCVCC,yes,
blalp,CCVCC,yes,
blalt,CCVCC,yes,
blalk,CCVCC,yes,
blalf,CCVCC,yes,
blalv,CCVCC,yes,
blalx,CCVCC,yes,
blarm,CCVCC,yes,
blarn,CCVCC,yes,
blarb,CCVCC,yes,
blard,CCVCC,yes,
blarg,CCVCC,yes,
blarp,CCVCC,yes,
blart,CCVCC,yes,
blark,CCVCC,yes,
blarf,CCVCC,yes,
